Data e Hora,Velocidade do Vento,Direção do Vento,Temperatura,Umidade Relativa,Precipitação,Pressão Atmosférica,Radiação Solar,PM2.5,PM10,Dióxido de Enxofre,Monóxido de Carbono,Ozônio,Monóxido de Nitrogênio,Óxidos de Nitrogênio,Dióxido de Nitrogênio,HCT,Metano,HCNM,Monóxido de Carbono Média Móvel,Data.1,Hora.1,Média Horária,Seno da Direção do Vento,Cosseno da Direção do Vento,Seno Ponderado,Cosseno Ponderado
2010-01-01 01:00:00,0.8,37.5,20,99.1,,,,,0,,0.2,,0,1,1,,,,,2008-12-31,18:00:00,,0.61,0.79,0.49,0.63
2010-01-01 02:00:00,1.2,31.7,20.1,98.6,,,,,0,,0.2,,0.2,1.2,1,,,,,2008-12-31,19:00:00,,0.53,0.85,0.63,1.02
2010-01-01 03:00:00,0.7,31.6,20,98.3,,,,,0,,0.2,,0,1,1,,,,,2008-12-31,20:00:00,,0.52,0.85,0.37,0.6
2010-01-01 04:00:00,1.1,34.2,20.2,95.3,,,,,7,,0.2,,0,1,1,,,,,2008-12-31,21:00:00,,0.56,0.83,0.62,0.91
2010-01-01 05:00:00,0.4,39,20.2,94.6,,,,,5,,0.2,,0,1,0.8,,,,,2008-12-31,22:00:00,,0.63,0.78,0.25,0.31
2010-01-01 06:00:00,0.6,38.1,20.1,94.8,,,,,4,,0.2,,0,1,1,,,,,2008-12-31,23:00:00,,0.62,0.79,0.37,0.47
2010-01-01 07:00:00,0.6,31.3,20.7,92.1,,,,,2,,0.2,,0.2,1.2,1,,,,,2008-12-31,00:00:00,,0.52,0.85,0.31,0.51
2010-01-01 08:00:00,1.8,32,21.3,87.5,,,,,6,,0.1,,0.5,1.5,1,,,,,,,,0.53,0.85,0.95,1.53
2010-01-01 09:00:00,1.7,30.8,22.4,83.2,,,,,3,,0.1,,0.2,1,0.8,,,,,,,,0.51,0.86,0.87,1.46
2010-01-01 10:00:00,1.5,29.3,23.4,80,,,,,9,,0.1,,0,1,0,,,,,,,,0.49,0.87,0.73,1.31
2010-01-01 11:00:00,1.9,25.9,24.4,78.7,,,,,9,,0.1,,0,1,0,,,,,,,,0.44,0.9,0.83,1.71
2010-01-01 12:00:00,2,23.9,25.5,71.5,,,,,5,,0.1,,0,0.5,0,,,,,,,,0.41,0.91,0.81,1.83
2010-01-01 13:00:00,2.8,23.1,26.4,65.1,,,,,3,,0.1,,0,0,0,,,,,,,,0.39,0.92,1.1,2.58
2010-01-01 14:00:00,2.3,24.8,26.9,63.9,,,,,2,,0.1,,0,0,0,,,,,,,,0.42,0.91,0.96,2.09
2010-01-01 15:00:00,2.3,26.4,27.4,60.1,,,,,3,,0.1,,0,0.5,0,,,,,,,,0.44,0.9,1.02,2.06
2010-01-01 16:00:00,2.5,28.4,27.7,58.2,,,,,2,,0.1,,0,0,0,,,,,,,,0.48,0.88,1.19,2.2
2010-01-01 17:00:00,1.9,28.7,27.9,58.5,,,,,2,,0.1,,0,0,0,,,,,,,,0.48,0.88,0.91,1.67
2010-01-01 18:00:00,3,34.7,25.4,70,,,,,2,,0.1,,0,0,0,,,,,,,,0.57,0.82,1.71,2.47
2010-01-01 19:00:00,1.7,34.3,25.2,72.9,,,,,3,,0.2,,0,1,0.8,,,,,,,,0.56,0.83,0.96,1.4
2010-01-01 20:00:00,2.5,34.8,22.5,84,,,,,3,,0.2,,0,1,0.8,,,,,,,,0.57,0.82,1.43,2.05
2010-01-01 21:00:00,0.5,34,20.8,96.2,,,,,2,,0.1,,0,0.8,0.5,,,,,,,,0.56,0.83,0.28,0.41
2010-01-01 22:00:00,0.1,37.5,20.4,99.1,,,,,2,,0.2,,0,1,0,,,,,,,,0.61,0.79,0.06,0.08
2010-01-01 23:00:00,0.1,31.9,20,99.2,,,,,2,,0.2,,0,1,0,,,,,,,,0.53,0.85,0.05,0.08
2010-01-01 00:00:00,1.8,35.6,22.1,89.5,,,,,1,,0.3,,0.2,0.8,0.5,,,,,,,,0.58,0.81,1.05,1.46
2010-01-02 01:00:00,1.9,34.6,22.6,85,,,,,0,,0.5,,0,0.5,0.2,,,,,,,,0.57,0.82,1.08,1.56
2010-01-02 02:00:00,1.9,34.9,22.5,84.1,,,,,0,,0.7,,0,0.5,0,,,,,,,,0.57,0.82,1.09,1.56
2010-01-02 03:00:00,1.8,35.5,22.2,85.1,,,,,13,,0.7,,0.8,1,0.5,,,,,,,,0.58,0.81,1.05,1.47
2010-01-02 04:00:00,2.1,35.7,21.9,84.9,,,,,7,,0.4,,0,0.2,0,,,,,,,,0.58,0.81,1.23,1.71
2010-01-02 05:00:00,2.9,34.6,21.7,85.5,,,,,10,,0.4,,0.2,0.8,0.2,,,,,,,,0.57,0.82,1.65,2.39
2010-01-02 06:00:00,3.1,34.5,21.5,85.7,,,,,5,,0.3,,0,0.5,0.2,,,,,,,,0.57,0.82,1.76,2.55
2010-01-02 07:00:00,2.5,33.6,22.1,83.2,,,,,6,,0.4,,0,1,0,,,,,,,,0.55,0.83,1.38,2.08
2010-01-02 08:00:00,2.7,31.8,23.2,74.3,,,,,5,,0.3,,0.2,0.8,0,,,,,,,,0.53,0.85,1.42,2.29
2010-01-02 09:00:00,3.1,31.5,24,65.6,,,,,4,,0.2,,0.2,0.5,0,,,,,,,,0.52,0.85,1.62,2.64
2010-01-02 10:00:00,2.8,32.2,25,61.8,,,,,2,,0.3,,0.2,0.5,0,,,,,,,,0.53,0.85,1.49,2.37
2010-01-02 11:00:00,2.8,30,25.9,56.6,,,,,2,,0.2,,0.8,1,0.2,,,,,,,,0.5,0.87,1.4,2.42
2010-01-02 12:00:00,2.4,29.6,26.8,52.8,,,,,1,,0.2,,0.8,1,1,,,,,,,,0.49,0.87,1.19,2.09
2010-01-02 13:00:00,2.2,28.5,27.6,48,,,,,0,,0.2,,1,1,1,,,,,,,,0.48,0.88,1.05,1.93
2010-01-02 14:00:00,2,28,28.3,45.6,,,,,0,,0.3,,0.8,1,1,,,,,,,,0.47,0.88,0.94,1.77
2010-01-02 15:00:00,2,27.3,28.8,42.8,,,,,1,,0.2,,0,0.5,0,,,,,,,,0.46,0.89,0.92,1.78
2010-01-02 16:00:00,1.9,30.4,29.2,42.1,,,,,2,,0.2,,0,0,0,,,,,,,,0.51,0.86,0.96,1.64
2010-01-02 17:00:00,2,29.1,29,42.8,,,,,15,,0.2,,0.2,0.5,0.2,,,,,,,,0.49,0.87,0.97,1.75
2010-01-02 18:00:00,1.7,29.4,28.6,42.7,,,,,8,,0.2,,0,0.8,0,,,,,,,,0.49,0.87,0.83,1.48
2010-01-02 19:00:00,2,33.5,27.1,46.7,,,,,4,,0.2,,0,1,1,,,,,,,,0.55,0.83,1.1,1.67
2010-01-02 20:00:00,2.7,35.3,25.5,59.7,,,,,2,,0.3,,0,1,0.7,,,,,,,,0.58,0.82,1.56,2.2
2010-01-02 21:00:00,2.5,35.2,24.5,65.4,,,,,1,,0.3,,0.7,0.7,0.7,,,,,,,,0.58,0.82,1.44,2.04
2010-01-02 22:00:00,2.5,33.8,23.8,66.8,,,,,0,,0.3,,0,1,1,,,,,,,,0.56,0.83,1.39,2.08
2010-01-02 23:00:00,3.2,33.7,23.3,66.4,,,,,0,,0.3,,0,1,0.5,,,,,,,,0.55,0.83,1.78,2.66
2010-01-02 00:00:00,2.8,34.4,22.7,66.3,,,,,0,,0.2,,0,1,1,,,,,,,,0.56,0.83,1.58,2.31
2010-01-03 01:00:00,3.1,34.7,22.3,67.4,,,,,0,,0.4,,0,0.5,0.5,,,,,,,,0.57,0.82,1.76,2.55
2010-01-03 02:00:00,2.5,34.6,21.9,67.7,,,,,0,,0.3,,0,0.2,0,,,,,,,,0.57,0.82,1.42,2.06
2010-01-03 03:00:00,2.2,34.9,21.7,70.9,,,,,1,,0.3,,0,0,0,,,,,,,,0.57,0.82,1.26,1.8
2010-01-03 04:00:00,1.4,36.4,21.4,75.8,,,,,17,,0.3,,0,0.2,0,,,,,,,,0.59,0.8,0.83,1.13
2010-01-03 05:00:00,0.5,40.3,20.4,82.2,,,,,31,,0.3,,0,0.2,0,,,,,,,,0.65,0.76,0.32,0.38
2010-01-03 06:00:00,0.3,22.8,18.4,95.2,,,,,16,,0.3,,0,0.5,0,,,,,,,,0.39,0.92,0.12,0.28
2010-01-03 07:00:00,1,34.7,22,80.5,,,,,9,,0.3,,0.5,1,0,,,,,,,,0.57,0.82,0.57,0.82
2010-01-03 08:00:00,1.8,35,23.9,73.4,,,,,14,,0.4,,0,0.8,0,,,,,,,,0.57,0.82,1.03,1.47
2010-01-03 09:00:00,2.1,33,24.9,68.8,,,,,8,,0.3,,0,1,0,,,,,,,,0.54,0.84,1.14,1.76
2010-01-03 10:00:00,1.7,30.9,26.3,59.3,,,,,4,,0.4,,0.5,0.8,0,,,,,,,,0.51,0.86,0.87,1.46
2010-01-03 11:00:00,1.3,31.3,27.5,50.3,,,,,2,,0.3,,0.2,1,0,,,,,,,,0.52,0.85,0.68,1.11
2010-01-03 12:00:00,1.1,29.3,28.5,45.8,,,,,1,,0.3,,0.5,1,0.5,,,,,,,,0.49,0.87,0.54,0.96
2010-01-03 13:00:00,1.2,25.4,29,43.6,,,,,0,,0.4,,0.2,1,0,,,,,,,,0.43,0.9,0.51,1.08
2010-01-03 14:00:00,1.3,32.3,29.7,40.9,,,,,0,,0.3,,0,0,0,,,,,,,,0.53,0.85,0.69,1.1
2010-01-03 15:00:00,1.1,31,30.8,35.1,,,,,56,,0.3,,0,0.2,0,,,,,,,,0.52,0.86,0.57,0.94
2010-01-03 16:00:00,1.1,27.5,30.6,35,,,,,39,,0.3,,0.2,0.8,0,,,,,,,,0.46,0.89,0.51,0.98
2010-01-03 17:00:00,1.1,24.8,30.7,35.6,,,,,21,,0.3,,0,0.2,0.2,,,,,,,,0.42,0.91,0.46,1
2010-01-03 18:00:00,0.9,33.4,30.3,37,,,,,12,,0.3,,0,0.5,0,,,,,,,,0.55,0.83,0.5,0.75
2010-01-03 19:00:00,0.4,29.8,27.3,53.2,,,,,6,,0.5,,0.2,1,1,,,,,,,,0.5,0.87,0.2,0.35
2010-01-03 20:00:00,1.7,34.9,27.1,52.7,,,,,3,,0.4,,0.5,1,1,,,,,,,,0.57,0.82,0.97,1.39
2010-01-03 21:00:00,3.1,35,26.1,65.5,,,,,1,,0.4,,0,1,0.7,,,,,,,,0.57,0.82,1.78,2.54
2010-01-03 22:00:00,2.7,33.7,25.4,70.7,,,,,0,,0.4,,0.5,1,0,,,,,,,,0.55,0.83,1.5,2.25
2010-01-03 23:00:00,2.6,34.5,25,71.6,,,,,0,,0.4,,0,0.5,0,,,,,,,,0.57,0.82,1.47,2.14
2010-01-03 00:00:00,2.6,34.2,24.5,69.4,,,,,0,,0.3,,0,0.8,0.2,,,,,,,,0.56,0.83,1.46,2.15
2010-01-04 01:00:00,1.7,34.3,24.2,66.9,,,,,0,,0.2,,0,0.5,0,,,,,,,,0.56,0.83,0.96,1.4
2010-01-04 02:00:00,0.9,35.2,23.4,69.6,,,,,0,,0.3,,0,0.2,0.2,,,,,,,,0.58,0.82,0.52,0.74
2010-01-04 03:00:00,0.2,30.3,20.2,89.2,,,,,6,,0.3,,0,0.8,0.2,,,,,,,,0.5,0.86,0.1,0.17
2010-01-04 04:00:00,0.1,31.3,18.7,97.7,,,,,6,,0.3,,0.7,0.7,0,,,,,,,,0.52,0.85,0.05,0.09
2010-01-04 05:00:00,0.1,36.8,18.4,99.1,,,,,16,,0.3,,1,1,1,,,,,,,,0.6,0.8,0.06,0.08
2010-01-04 06:00:00,0.3,34.6,18.8,98.6,,,,,10,,0.3,,1,1,0.8,,,,,,,,0.57,0.82,0.17,0.25
2010-01-04 07:00:00,0.5,24.7,21.4,88.2,,,,,8,,0.4,,1.8,2.5,1,,,,,,,,0.42,0.91,0.21,0.45
2010-01-04 08:00:00,1.9,31.7,24.2,72.4,,,,,,,0.3,,1,1.2,1,,,,,,,,0.53,0.85,1,1.62
2010-01-04 09:00:00,2.3,31.7,25.4,68.4,,,,,2,,0.3,,1,1,0.8,,,,,,,,0.53,0.85,1.21,1.96
2010-01-04 10:00:00,2.4,31,26,65.7,,,,,3,,0.3,,1,1,0.2,,,,,,,,0.52,0.86,1.24,2.06
2010-01-04 11:00:00,1.8,30.9,27.2,58.8,,,,,3,,0.3,,0.5,1,0.8,,,,,,,,0.51,0.86,0.92,1.54
2010-01-04 12:00:00,2,30.5,28,55.5,,,,,2,,0.3,,0.8,1,1,,,,,,,,0.51,0.86,1.02,1.72
2010-01-04 13:00:00,1.6,27.7,28.8,53.2,,,,,1,,0.3,,1,1,1,,,,,,,,0.46,0.89,0.74,1.42
2010-01-04 14:00:00,1.5,29.8,30,48.1,,,,,1,,0.3,,0.8,1,1,,,,,,,,0.5,0.87,0.75,1.3
2010-01-04 15:00:00,1.4,24.8,29.7,49.2,,,,,2,,0.3,,1,1,1,,,,,,,,0.42,0.91,0.59,1.27
2010-01-04 16:00:00,2.4,34.2,27.2,59.6,,,,,3,,0.3,,1,1,1,,,,,,,,0.56,0.83,1.35,1.98
2010-01-04 17:00:00,1.4,36.1,23.6,69.4,,,,,1,,0.2,,0.2,1,1,,,,,,,,0.59,0.81,0.82,1.13
2010-01-04 18:00:00,1.1,38,25.1,61.4,,,,,0,,0.4,,0.8,1.2,1,,,,,,,,0.62,0.79,0.68,0.87
2010-01-04 19:00:00,0.3,25.7,24,68.9,,,,,0,,0.5,,1,2,1.5,,,,,,,,0.43,0.9,0.13,0.27
2010-01-04 20:00:00,0.4,36.5,21.7,87.6,,,,,0,,0.5,,0.8,1.8,1.5,,,,,,,,0.59,0.8,0.24,0.32
