Data e Hora,Velocidade do Vento,Direção do Vento,Temperatura,Umidade Relativa,Precipitação,Pressão Atmosférica,Radiação Solar,PM2.5,PM10,Dióxido de Enxofre,Monóxido de Carbono,Ozônio,Monóxido de Nitrogênio,Óxidos de Nitrogênio,Dióxido de Nitrogênio,HCT,Metano,HCNM,Monóxido de Carbono Média Móvel,Data.1,Hora.1,Média Horária
2010-01-01 01:00:00,InVld,InVld,InVld,InVld,InVld,,,,13,0,0.9,10.7,2,14.8,13.5,,,,,2008-12-31,18:00:00,
2010-01-01 02:00:00,InVld,InVld,InVld,InVld,InVld,,,,9,0,0.9,11.8,2.8,16.8,14.5,,,,,2008-12-31,19:00:00,
2010-01-01 03:00:00,InVld,InVld,InVld,InVld,InVld,,,,5,0,0.7,17.1,1.8,10.8,9.8,,,,,2008-12-31,20:00:00,
2010-01-01 04:00:00,InVld,InVld,InVld,InVld,InVld,,,,5,0,0.6,18.4,2,8.8,7.8,,,,,2008-12-31,21:00:00,
2010-01-01 05:00:00,InVld,InVld,InVld,InVld,InVld,,,,3,0,0.6,17.2,1.5,9.2,7.8,,,,,2008-12-31,22:00:00,
2010-01-01 06:00:00,InVld,InVld,InVld,InVld,InVld,,,,2,0,0.5,16.8,1.5,8.2,7.5,,,,,2008-12-31,23:00:00,
2010-01-01 07:00:00,InVld,InVld,InVld,InVld,InVld,,,,3,0,0.6,15.5,2.2,11,9.2,,,,,2008-12-31,00:00:00,
2010-01-01 08:00:00,InVld,InVld,InVld,InVld,InVld,,,,16,0,0.7,17,4,13,8.7,,,,,,,
2010-01-01 09:00:00,InVld,InVld,InVld,InVld,InVld,,,,9,0,0.6,22.4,2.8,8.8,6,,,,,,,
2010-01-01 10:00:00,InVld,InVld,InVld,InVld,InVld,,,,6,0,0.8,22.7,4.8,14,9,,,,,,,
2010-01-01 11:00:00,InVld,InVld,InVld,InVld,InVld,,,,4,0,0.9,29,3.2,12,8.8,,,,,,,
2010-01-01 12:00:00,InVld,InVld,InVld,InVld,InVld,,,,6,0,1,34.4,3.2,10.5,7.5,,,,,,,
2010-01-01 13:00:00,InVld,InVld,InVld,InVld,InVld,,,,4,0,1.1,34.7,2.5,9,6.8,,,,,,,
2010-01-01 14:00:00,InVld,InVld,InVld,InVld,InVld,,,,3,0,Alarm,34.1,2.2,8.5,6.5,,,,,,,
2010-01-01 15:00:00,InVld,InVld,InVld,InVld,InVld,,,,2,0,Alarm,32.4,3.2,9.2,7.2,,,,,,,
2010-01-01 16:00:00,InVld,InVld,InVld,InVld,InVld,,,,2,0,Alarm,31.5,3,10.2,7.8,,,,,,,
2010-01-01 17:00:00,InVld,InVld,InVld,InVld,InVld,,,,2,0,Alarm,34,2.8,8.2,5.5,,,,,,,
2010-01-01 18:00:00,InVld,InVld,InVld,InVld,InVld,,,,2,0,Alarm,25,1.5,6.2,4.8,,,,,,,
2010-01-01 19:00:00,InVld,InVld,InVld,InVld,InVld,,,,1,0,Alarm,19.8,1.8,9.8,8.5,,,,,,,
2010-01-01 20:00:00,InVld,InVld,InVld,InVld,InVld,,,,8,0,Alarm,21.8,2,9.2,7.2,,,,,,,
2010-01-01 21:00:00,InVld,InVld,InVld,InVld,InVld,,,,14,0,Alarm,13.9,5.8,19.5,14.2,,,,,,,
2010-01-01 22:00:00,InVld,InVld,InVld,InVld,InVld,,,,25,0,Alarm,13.5,2.3,17,15.3,,,,,,,
2010-01-01 23:00:00,InVld,InVld,InVld,InVld,InVld,,,,14,0,Alarm,19.2,1.7,8,6.3,,,,,,,
2010-01-01 00:00:00,InVld,InVld,InVld,InVld,InVld,,,,9,0,Alarm,20.2,1,6.5,5.5,,,,,,,
2010-01-02 01:00:00,InVld,InVld,InVld,InVld,InVld,,,,13,0,Alarm,20.4,1.5,6,5.8,,,,,,,
2010-01-02 02:00:00,InVld,InVld,InVld,InVld,InVld,,,,7,0,Alarm,20.6,1.8,5,3.8,,,,,,,
2010-01-02 03:00:00,InVld,InVld,InVld,InVld,InVld,,,,4,0,Alarm,20,1.5,4.8,4.2,,,,,,,
2010-01-02 04:00:00,InVld,InVld,InVld,InVld,InVld,,,,3,0,Alarm,19.1,Samp<,Samp<,Samp<,,,,,,,
2010-01-02 05:00:00,InVld,InVld,InVld,InVld,InVld,,,,13,0,Alarm,17.4,1.5,6.5,5.2,,,,,,,
