Data e Hora,Velocidade do Vento,Direção do Vento,Temperatura,Umidade Relativa,Precipitação,Pressão Atmosférica,Radiação Solar,PM2.5,Partículas Totais (µg/m3),PM10,Dióxido de Enxofre,Monóxido de Carbono,Ozônio,Monóxido de Nitrogênio,Óxidos de Nitrogênio,Dióxido de Nitrogênio,HCT,Metano,HCNM,Benzeno (ppb),Tolueno (ppb),Etil Benzeno (ppb),Para e Meta Xileno (ppb),Orto Xileno (ppb),Data.1,Hora.1,Média Horária
2012-01-01 01:00:00,,,,,,,,,,,1.0,0.5,9.2,2.8,13.5,10.5,,,,,,,,,2011-12-31,18:00:00,0.5
2012-01-01 02:00:00,,,,,,,,,,,1.0,0.6,5.5,2.8,16.5,13.8,,,,,,,,,2011-12-31,19:00:00,0.8
2012-01-01 03:00:00,,,,,,,,,,,0.8,0.4,8.0,2.5,17.2,14.5,,,,,,,,,2011-12-31,20:00:00,0.7
2012-01-01 04:00:00,,,,,,,,,,,0.0,0.3,9.8,2.5,13.5,11.0,,,,,,,,,2011-12-31,21:00:00,0.8
2012-01-01 05:00:00,,,,,,,,,,,0.0,0.2,17.0,1.2,8.2,7.0,,,,,,,,,2011-12-31,22:00:00,0.8
2012-01-01 06:00:00,,,,,,,,,,,0.0,0.2,15.5,2.5,7.8,5.5,,,,,,,,,2011-12-31,23:00:00,0.5
2012-01-01 07:00:00,,,,,,,,,,,0.0,0.2,18.5,2.2,8.5,6.2,,,,,,,,,2011-12-31,00:00:00,0.4
2012-01-01 08:00:00,,,,,,,,,,,0.0,0.2,19.0,2.0,7.2,5.2,,,,,,,,,,,
2012-01-01 09:00:00,,,,,,,,,,,0.0,0.2,19.0,2.0,7.8,5.8,,,,,,,,,,,
2012-01-01 10:00:00,,,,,,,,,,,0.0,0.2,19.2,2.5,7.8,5.5,,,,,,,,,,,
2012-01-01 11:00:00,,,,,,,,,,,0.0,0.3,18.2,1.8,9.0,7.2,,,,,,,,,,,
2012-01-01 12:00:00,,,,,,,,,,,0.0,0.4,16.2,2.2,10.2,8.2,,,,,,,,,,,
2012-01-01 13:00:00,,,,,,,,,,,0.0,0.3,15.0,2.5,10.8,8.2,,,,,,,,,,,
2012-01-01 14:00:00,,,,,,,,,,,0.0,0.3,15.8,2.8,10.0,7.0,,,,,,,,,,,
2012-01-01 15:00:00,,,,,,,,,,,0.0,0.4,14.8,2.5,10.8,8.0,,,,,,,,,,,
2012-01-01 16:00:00,,,,,,,,,,,0.0,0.3,14.8,3.0,11.5,8.5,,,,,,,,,,,
2012-01-01 17:00:00,,,,,,,,,,,0.0,0.4,11.5,3.2,12.2,9.0,,,,,,,,,,,
2012-01-01 18:00:00,,,,,,,,,,,0.0,0.5,8.0,3.0,16.0,12.8,,,,,,,,,,,
2012-01-01 19:00:00,,,,,,,,,,,0.0,0.7,3.5,4.5,22.2,17.8,,,,,,,,,,,
2012-01-01 20:00:00,,,,,,,,,,,0.0,0.7,3.2,8.2,29.0,21.0,,,,,,,,,,,
2012-01-01 21:00:00,,,,,,,,,,,0.0,0.3,11.0,4.5,20.5,15.8,,,,,,,,,,,
2012-01-01 22:00:00,,,,,,,,,,,0.0,0.3,11.8,2.8,13.5,11.0,,,,,,,,,,,
2012-01-01 23:00:00,,,,,,,,,,,0.0,0.2,15.0,1.5,8.2,7.0,,,,,,,,,,,
2012-01-01 00:00:00,,,,,,,,,,,0.5,0.2,16.2,2.2,6.5,4.5,,,,,,,,,,,
2012-01-02 01:00:00,,,,,,,,,,,0.0,0.2,16.0,2.5,6.0,3.5,,,,,,,,,,,
2012-01-02 02:00:00,,,,,,,,,,,0.0,0.2,15.2,2.0,6.0,4.5,,,,,,,,,,,
2012-01-02 03:00:00,,,,,,,,,,,0.0,0.2,15.5,1.8,6.2,4.2,,,,,,,,,,,
2012-01-02 04:00:00,,,,,,,,,,,0.0,0.2,14.8,2.0,6.5,4.5,,,,,,,,,,,
2012-01-02 05:00:00,,,,,,,,,,,0.0,0.2,16.2,2.5,8.0,5.8,,,,,,,,,,,
2012-01-02 06:00:00,,,,,,,,,,,0.0,0.3,16.5,1.5,10.2,9.0,,,,,,,,,,,
2012-01-02 07:00:00,,,,,,,,,,,0.0,0.4,11.0,5.5,22.2,17.0,,,,,,,,,,,
2012-01-02 08:00:00,,,,,,,,,,,0.0,0.4,9.0,7.0,27.0,20.0,,,,,,,,,,,
2012-01-02 09:00:00,,,,,,,,,,,0.0,0.4,10.8,5.2,27.0,22.0,,,,,,,,,,,
2012-01-02 10:00:00,,,,,,,,,,,0.0,0.3,12.2,5.2,25.2,19.8,,,,,,,,,,,
2012-01-02 11:00:00,,,,,,,,,,,0.5,0.3,12.2,4.8,21.2,16.5,,,,,,,,,,,
2012-01-02 12:00:00,,,,,,,,,,,3.3,0.4,11.2,4.2,20.8,16.5,,,,,,,,,,,
2012-01-02 13:00:00,,,,,,,,,,,2.0,0.3,13.2,3.0,18.2,14.5,,,,,,,,,,,
2012-01-02 14:00:00,,,,,,,,,,,1.0,0.3,13.2,3.2,17.0,13.8,,,,,,,,,,,
2012-01-02 15:00:00,,,,,,,,,,,0.8,0.3,14.8,2.2,14.0,12.2,,,,,,,,,,,
2012-01-02 16:00:00,,,,,,,,,,,0.5,0.3,12.5,3.0,15.2,11.5,,,,,,,,,,,
2012-01-02 17:00:00,,,,,,,,,,,0.5,0.3,11.5,3.2,16.2,13.0,,,,,,,,,,,
2012-01-02 18:00:00,,,,,,,,,,,0.0,0.3,11.0,4.0,17.2,13.8,,,,,,,,,,,
2012-01-02 19:00:00,,,,,,,,,,,0.0,0.3,8.8,2.8,16.2,13.8,,,,,,,,,,,
2012-01-02 20:00:00,,,,,,,,,,,0.3,0.3,9.0,3.5,18.8,15.5,,,,,,,,,,,
2012-01-02 21:00:00,,,,,,,,,,,0.0,0.3,9.5,3.0,15.5,12.8,,,,,,,,,,,
2012-01-02 22:00:00,,,,,,,,,,,0.0,0.3,6.8,3.2,16.2,13.5,,,,,,,,,,,
2012-01-02 23:00:00,,,,,,,,,,,0.0,0.3,5.8,3.5,19.5,16.2,,,,,,,,,,,
2012-01-02 00:00:00,,,,,,,,,,,1.3,0.2,10.2,2.8,15.0,12.2,,,,,,,,,,,
2012-01-03 01:00:00,,,,,,,,,,,1.3,0.2,10.2,2.0,11.8,9.8,,,,,,,,,,,
2012-01-03 02:00:00,,,,,,,,,,,1.0,0.2,12.2,2.0,10.2,7.8,,,,,,,,,,,
2012-01-03 03:00:00,,,,,,,,,,,0.8,0.2,13.5,1.8,8.5,6.5,,,,,,,,,,,
2012-01-03 04:00:00,,,,,,,,,,,1.3,0.2,14.8,2.2,8.8,6.8,,,,,,,,,,,
2012-01-03 05:00:00,,,,,,,,,,,1.3,0.2,12.0,2.2,10.0,7.8,,,,,,,,,,,
2012-01-03 06:00:00,,,,,,,,,,,1.8,0.3,6.8,3.5,18.2,14.5,,,,,,,,,,,
2012-01-03 07:00:00,,,,,,,,,,,1.8,0.4,5.0,9.2,29.5,20.2,,,,,,,,,,,
2012-01-03 08:00:00,,,,,,,,,,,1.5,0.4,6.2,10.2,30.8,20.5,,,,,,,,,,,
2012-01-03 09:00:00,,,,,,,,,,,2.0,0.4,6.8,6.5,26.5,20.0,,,,,,,,,,,
2012-01-03 10:00:00,,,,,,,,,,,1.5,0.2,9.5,4.2,18.0,14.0,,,,,,,,,,,
2012-01-03 11:00:00,,,,,,,,,,,1.3,0.2,14.2,3.5,13.0,10.0,,,,,,,,,,,
2012-01-03 12:00:00,,,,,,,,,,,1.5,0.2,17.0,2.2,13.2,11.0,,,,,,,,,,,
2012-01-03 13:00:00,,,,,,,,,,,1.3,0.2,16.5,2.8,15.0,12.2,,,,,,,,,,,
2012-01-03 14:00:00,,,,,,,,,,,1.3,0.2,16.0,2.5,15.5,13.0,,,,,,,,,,,
2012-01-03 15:00:00,,,,,,,,,,,1.5,0.2,16.8,3.5,14.8,11.5,,,,,,,,,,,
2012-01-03 16:00:00,,,,,,,,,,,1.5,0.2,18.8,3.0,17.0,13.5,,,,,,,,,,,
2012-01-03 17:00:00,,,,,,,,,,,1.0,0.3,17.0,3.2,17.8,14.5,,,,,,,,,,,
2012-01-03 18:00:00,,,,,,,,,,,0.8,0.3,14.5,3.8,19.2,16.0,,,,,,,,,,,
