Data e Hora,PM10,Dióxido de Nitrogênio,Ozônio,Dióxido de Enxofre,PM2.5,Monóxido de Carbono,Temperatura,Direção do Vento,Pressão Atmosférica,Velocidade do Vento,Radiação Solar,Umidade Relativa
2017-01-01 00:30:00,30.99,,,,,,,,,,,
2017-01-01 01:30:00,25.44,,,,,,,,,,,
2017-01-01 02:30:00,30.09,,,,,,,,,,,
2017-01-01 03:30:00,15.21,,,,,,,,,,,
2017-01-01 04:30:00,20.74,,,,,,,,,,,
2017-01-01 05:30:00,13.67,,,,,,,,,,,
2017-01-01 06:30:00,14.08,,,,,,,,,,,
2017-01-01 07:30:00,25.18,,,,,,,,,,,
2017-01-01 08:30:00,12.96,,,,,,,,,,,
2017-01-01 09:30:00,19.09,,,,,,,,,,,
2017-01-01 10:30:00,15.78,,,,,,,,,,,
2017-01-01 11:30:00,26.44,,,,,,,,,,,
2017-01-01 12:30:00,19.83,,,,,,,,,,,
2017-01-01 13:30:00,19.76,,,,,,,,,,,
2017-01-01 14:30:00,22.09,,,,,,,,,,,
2017-01-01 15:30:00,23.63,,,,,,,,,,,
2017-01-01 16:30:00,24.61,,,,,,,,,,,
2017-01-01 17:30:00,35.25,,,,,,,,,,,
2017-01-01 18:30:00,25.37,,,,,,,,,,,
2017-01-01 19:30:00,41.9,,,,,,,,,,,
2017-01-01 20:30:00,43.12,,,,,,,,,,,
2017-01-01 21:30:00,30.55,,,,,,,,,,,
2017-01-01 22:30:00,38.64,,,,,,,,,,,
2017-01-01 23:30:00,19.35,,,,,,,,,,,
2017-01-02 00:30:00,14.85,,,,,,,,,,,
2017-01-02 01:30:00,8.9,,,,,,,,,,,
2017-01-02 02:30:00,35.01,,,,,,,,,,,
2017-01-02 03:30:00,19.23,,,,,,,,,,,
2017-01-02 04:30:00,33.8,,,,,,,,,,,
2017-01-02 05:30:00,21.27,,,,,,,,,,,
2017-01-02 06:30:00,40.79,,,,,,,,,,,
2017-01-02 07:30:00,32.07,,,,,,,,,,,
2017-01-02 08:30:00,45.42,,,,,,,,,,,
2017-01-02 09:30:00,59.23,,,,,,,,,,,
2017-01-02 10:30:00,48.06,,,,,,,,,,,
2017-01-02 11:30:00,40.37,,,,,,,,,,,
2017-01-02 12:30:00,26.52,,,,,,,,,,,
2017-01-02 13:30:00,26.71,,,,,,,,,,,
2017-01-02 14:30:00,22.96,,,,,,,,,,,
2017-01-02 15:30:00,29.56,,,,,,,,,,,
2017-01-02 16:30:00,20.61,,,,,,,,,,,
2017-01-02 17:30:00,23.62,,,,,,,,,,,
2017-01-02 18:30:00,63.66,,,,,,,,,,,
2017-01-02 19:30:00,61.5,,,,,,,,,,,
2017-01-02 20:30:00,31.86,,,,,,,,,,,
2017-01-02 21:30:00,17.72,,,,,,,,,,,
2017-01-02 22:30:00,9.0,,,,,,,,,,,
2017-01-02 23:30:00,35.35,,,,,,,,,,,
2017-01-03 00:30:00,36.55,,,,,,,,,,,
2017-01-03 01:30:00,18.28,,,,,,,,,,,
2017-01-03 02:30:00,9.56,,,,,,,,,,,
2017-01-03 03:30:00,16.25,,,,,,,,,,,
2017-01-03 04:30:00,23.21,,,,,,,,,,,
2017-01-03 05:30:00,36.59,,,,,,,,,,,
2017-01-03 06:30:00,18.9,,,,,,,,,,,
2017-01-03 07:30:00,42.04,,,,,,,,,,,
2017-01-03 08:30:00,27.17,,,,,,,,,,,
2017-01-03 09:30:00,33.93,,,,,,,,,,,
2017-01-03 10:30:00,65.93,,,,,,,,,,,
2017-01-03 11:30:00,52.7,,,,,,,,,,,
2017-01-03 12:30:00,37.01,,,,,,,,,,,
2017-01-03 13:30:00,36.81,,,,,,,,,,,
2017-01-03 14:30:00,41.85,,,,,,,,,,,
2017-01-03 15:30:00,31.1,,,,,,,,,,,
2017-01-03 16:30:00,29.88,,,,,,,,,,,
2017-01-03 17:30:00,42.0,,,,,,,,,,,
2017-01-03 18:30:00,49.63,,,,,,,,,,,
2017-01-03 19:30:00,71.74,,,,,,,,,,,
2017-01-03 20:30:00,35.87,,,,,,,,,,,
2017-01-03 21:30:00,17.94,,,,,,,,,,,
2017-01-03 22:30:00,10.1,,,,,,,,,,,
2017-01-03 23:30:00,24.99,,,,,,,,,,,
2017-01-04 00:30:00,19.29,,,,,,,,,,,
2017-01-04 01:30:00,27.06,,,,,,,,,,,
2017-01-04 02:30:00,22.82,,,,,,,,,,,
2017-01-04 03:30:00,12.63,,,,,,,,,,,
2017-01-04 04:30:00,25.6,,,,,,,,,,,
2017-01-04 05:30:00,21.77,,,,,,,,,,,
2017-01-04 06:30:00,32.81,,,,,,,,,,,
2017-01-04 07:30:00,49.73,,,,,,,,,,,
2017-01-04 08:30:00,26.51,,,,,,,,,,,
2017-01-04 09:30:00,33.1,,,,,,,,,,,
2017-01-04 10:30:00,50.04,,,,,,,,,,,
2017-01-04 11:30:00,56.43,,,,,,,,,,,
2017-01-04 12:30:00,51.74,,,,,,,,,,,
2017-01-04 13:30:00,43.86,,,,,,,,,,,
2017-01-04 14:30:00,35.11,,,,,,,,,,,
2017-01-04 15:30:00,44.89,13.35,74.33,0.28,10.0,0.25,30.53,57.58,0.0,1.58,193.72,45.01
2017-01-04 16:30:00,46.73,7.79,60.89,0.18,8.0,0.33,29.25,92.94,0.0,2.1,86.49,48.88
2017-01-04 17:30:00,44.01,7.51,59.1,0.24,9.0,0.28,27.66,122.23,0.0,2.16,49.73,56.33
2017-01-04 18:30:00,53.76,5.94,65.6,0.17,11.0,0.18,24.37,178.38,0.0,2.16,8.12,67.48
